opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-FY26-0092,LAC,Public Sector,Company 92 - DevOps & Automation,Commit,Owner 73,2,Q3 FY26,Analytics & Reporting,107064,,2026-04-21,,2026-05-20,,,,Company 92,,CIO,,Yes,No,Legacy expensive,,Low TCO,Competitor A,GSII,
OPP-FY26-0093,NORAM,Enterprise,Company 93 - Cloud Cost Optimization,Prove,Owner 130,4,Q2 FY26,Data Platform Modernization,39291,,2026-01-16,2026-02-11,2026-03-20,,147,,Company 93,Parent Account 129,Cloud Arch,,,,Legacy expensive,Budget expires FY,References match,Competitor A,GSII,Faster release
OPP-FY26-0094,APAC,Strategic Accounts,Company 94 - Customer 360 View,Commit,Owner 15,1,Q1 FY26,Data Platform Modernization,49187,Deep dive,2025-10-15,2025-11-02,,,,,Company 94,Parent Account 169,,Yes,,No,,Budget expires FY,Strong roadmap,Competitor A,Partner X,Security posture
OPP-FY26-0095,GP&A,Strategic Accounts,Company 95 - Customer 360 View,Prove,Owner 15,2,Q2 FY26,AI/ML Enablement,47322,Exec sponsor confirm,2026-02-12,2026-02-19,2026-03-10,,,,Company 95,,CTO,No,,,,M&A drive,,Competitor A,None,
OPP-FY26-0096,LAC,SMB,Company 96 - Cloud Cost Optimization,Commit,Owner 173,1,Q2 FY26,Cloud Cost Optimization,24881,POC run,2026-01-15,2026-02-07,,,,,Company 96,Parent Account 133,CIO,Yes,No,No,,,Strong roadmap,Competitor B,Consulting Co,Security posture
OPP-FY26-0097,EMEA,Enterprise,Company 97 - Data Platform Modernization,Explore,Owner 195,3,Q3 FY26,DevOps & Automation,71515,,2026-04-16,,2026-06-07,2026-06-25,,,Company 97,Parent Account 189,Infra Lead,Yes,Yes,Yes,Legacy expensive,,Best fit,Status Quo,Consulting Co,Security posture
OPP-FY26-0098,GP&A,Enterprise,Company 98 - Customer 360 View,Commit,Owner 16,0,Q2 FY26,AI/ML Enablement,70026,Deep dive,2026-02-26,,,,,,Company 98,Parent Account 34,CTO,No,No,No,,,,Competitor B,Consulting Co,Faster release
OPP-FY26-0099,NORAM,Strategic Accounts,Company 99 - Data Platform Modernization,Prove,Owner 68,0,Q2 FY26,Analytics & Reporting,60058,POC run,2026-02-15,,,,,,Company 99,Parent Account 41,Cloud Arch,,,Yes,Reg risk,,,Internal Build,Consulting Co,
OPP-FY26-0100,APAC,Mid-Market,Company 100 - Security & Compliance,Explore,Owner 103,0,Q3 FY26,Data Platform Modernization,52012,,2026-04-24,,,,,,Company 100,Parent Account 166,CIO,No,,,Reg risk,Renewal soon,,Internal Build,Partner X,Reduce Ops
OPP-FY26-0101,NORAM,SMB,Company 101 - Data Platform Modernization,Prove,Owner 39,3,Q3 FY26,Cloud Cost Optimization,25611,,2026-04-29,2026-05-27,2026-06-30,2026-07-04,,,Company 101,Parent Account 158,CTO,No,,No,,Budget expires FY,Low TCO,Competitor C,Consulting Co,Faster release
OPP-FY26-0102,GP&A,Public Sector,Company 102 - Data Platform Modernization,Commit,Owner 60,4,Q2 FY26,Security & Compliance,46518,,2026-02-06,,2026-03-28,,152,,Company 102,Parent Account 169,CTO,Yes,Yes,No,,Exec mandate,Strong roadmap,Competitor A,GSII,Reduce Ops
OPP-FY26-0103,GP&A,Enterprise,Company 103 - Cloud Cost Optimization,Explore,Owner 60,1,Q3 FY26,Customer 360 View,48745,Exec sponsor confirm,2026-05-03,2026-06-06,,,,,Company 103,Parent Account 135,,Yes,No,,Legacy expensive,Budget expires FY,Strong roadmap,Competitor C,Consulting Co,Visibility
OPP-FY26-0104,NORAM,Public Sector,Company 104 - DevOps & Automation,Commit,Owner 92,2,Q1 FY26,Security & Compliance,36998,Procurement alignment,2025-11-04,2025-11-17,2025-12-17,,,,Company 104,Parent Account 45,Director IT,,Yes,No,,Exec mandate,Best fit,Competitor A,Consulting Co,Reduce Ops
OPP-FY26-0105,NORAM,Enterprise,Company 105 - Analytics & Reporting,Commit,Owner 172,0,Q1 FY26,DevOps & Automation,54351,POC run,2025-11-30,,,,,,Company 105,,VP Eng,,Yes,Yes,Fragmented tools,M&A drive,References match,Internal Build,GSII,
OPP-FY26-0106,EMEA,SMB,Company 106 - Cloud Cost Optimization,Explore,Owner 88,3,Q3 FY26,Security & Compliance,76300,Deep dive,2026-04-20,,,2026-07-29,,,Company 106,,CTO,Yes,No,No,Legacy expensive,,,Competitor B,Consulting Co,Security posture
OPP-FY26-0107,NORAM,Enterprise,Company 107 - Data Platform Modernization,Explore,Owner 110,2,Q1 FY26,Cloud Cost Optimization,185667,Exec sponsor confirm,2025-11-30,2025-12-09,2025-12-15,,,,Company 107,Parent Account 170,Infra Lead,,,No,Reg risk,Exec mandate,References match,Competitor C,Partner X,
OPP-FY26-0108,LAC,Enterprise,Company 108 - Security & Compliance,Commit,Owner 171,3,Q2 FY26,Cloud Cost Optimization,66486,Proposal review,2026-01-03,,2026-02-17,2026-02-22,,,Company 108,Parent Account 89,Cloud Arch,Yes,No,No,Reg risk,Budget expires FY,Low TCO,Competitor A,None,
OPP-FY26-0109,NORAM,Public Sector,Company 109 - Data Platform Modernization,Prove,Owner 187,3,Q1 FY26,Analytics & Reporting,69879,Implementation plan,2025-11-14,,2025-12-13,2025-12-28,,,Company 109,Parent Account 100,Head of Data,No,No,Yes,,,Low TCO,Status Quo,Partner X,Security posture
OPP-FY26-0110,GP&A,Enterprise,Company 110 - Security & Compliance,Prove,Owner 104,2,Q3 FY26,Security & Compliance,57258,Procurement alignment,2026-05-13,2026-06-11,2026-06-30,,,,Company 110,Parent Account 175,Infra Lead,No,No,Yes,Does not scale,,,Internal Build,Partner X,
OPP-FY26-0111,GP&A,Strategic Accounts,Company 111 - Analytics & Reporting,Commit,Owner 96,3,Q3 FY26,Analytics & Reporting,18934,,2026-04-17,2026-05-10,,2026-06-28,,,Company 111,Parent Account 41,CIO,,,Yes,,Renewal soon,,Internal Build,None,Faster release
OPP-FY26-0112,GP&A,Public Sector,Company 112 - AI/ML Enablement,Explore,Owner 122,0,Q2 FY26,Customer 360 View,58929,,2026-03-24,,,,,,Company 112,Parent Account 89,CTO,No,,,Legacy expensive,Budget expires FY,Strong roadmap,Status Quo,Partner X,Visibility
OPP-FY26-0113,NORAM,SMB,Company 113 - Customer 360 View,Prove,Owner 183,1,Q2 FY26,DevOps & Automation,62077,Exec sponsor confirm,2026-03-15,2026-03-29,,,,,Company 113,Parent Account 109,Director IT,No,,No,Fragmented tools,Exec mandate,,Competitor A,Consulting Co,Visibility
OPP-FY26-0114,EMEA,Mid-Market,Company 114 - Security & Compliance,Commit,Owner 196,2,Q2 FY26,Security & Compliance,262483,Implementation plan,2026-03-13,,2026-04-25,,,,Company 114,,Cloud Arch,No,Yes,No,Does not scale,M&A drive,Low TCO,Status Quo,Partner Y,Security posture
OPP-FY26-0115,EMEA,Public Sector,Company 115 - Data Platform Modernization,Explore,Owner 169,1,Q2 FY26,Customer 360 View,53347,Implementation plan,2026-03-25,2026-05-01,,,,,Company 115,Parent Account 25,,No,Yes,No,Legacy expensive,Exec mandate,Strong roadmap,Status Quo,GSII,Faster release
OPP-FY26-0116,GP&A,Public Sector,Company 116 - Data Platform Modernization,Prove,Owner 14,3,Q1 FY26,Analytics & Reporting,71748,Proposal review,2025-10-14,2025-11-26,,2026-02-14,,,Company 116,,CTO,No,,Yes,,,,Competitor C,Partner Y,Reduce Ops
OPP-FY26-0117,GP&A,Strategic Accounts,Company 117 - AI/ML Enablement,Prove,Owner 99,1,Q2 FY26,Cloud Cost Optimization,58640,Proposal review,2026-02-03,2026-02-11,,,,,Company 117,Parent Account 52,Infra Lead,Yes,,Yes,,,Low TCO,Status Quo,GSII,
OPP-FY26-0118,LAC,Public Sector,Company 118 - Customer 360 View,Prove,Owner 112,0,Q1 FY26,DevOps & Automation,29696,POC run,2025-12-16,,,,,,Company 118,,VP Eng,No,,,Legacy expensive,,Low TCO,Competitor B,Partner X,Security posture
OPP-FY26-0119,LAC,Public Sector,Company 119 - Cloud Cost Optimization,Commit,Owner 13,0,Q2 FY26,DevOps & Automation,118859,Implementation plan,2026-01-05,,,,,,Company 119,Parent Account 6,CIO,No,Yes,No,Legacy expensive,,Low TCO,Competitor C,None,Reduce Ops
OPP-FY26-0120,EMEA,Enterprise,Company 120 - Analytics & Reporting,Explore,Owner 128,0,Q2 FY26,Security & Compliance,94010,Implementation plan,2026-02-08,,,,,,Company 120,Parent Account 200,VP Eng,Yes,,Yes,Legacy expensive,,,Competitor A,Partner X,
OPP-FY26-0121,APAC,SMB,Company 121 - DevOps & Automation,Explore,Owner 117,0,Q3 FY26,Data Platform Modernization,96241,,2026-04-18,,,,,,Company 121,Parent Account 13,CIO,Yes,No,No,,,Best fit,Competitor B,GSII,Security posture
OPP-FY26-0122,GP&A,Strategic Accounts,Company 122 - DevOps & Automation,Explore,Owner 29,4,Q1 FY26,Security & Compliance,34695,Procurement alignment,2025-12-08,,2026-01-11,2026-02-04,224,,Company 122,Parent Account 16,,No,No,,Reg risk,Renewal soon,Best fit,Internal Build,Partner X,Faster release
OPP-FY26-0123,LAC,Public Sector,Company 123 - DevOps & Automation,Commit,Owner 58,0,Q1 FY26,DevOps & Automation,138923,Implementation plan,2025-12-06,,,,,,Company 123,,Head of Data,Yes,Yes,,,Budget expires FY,References match,Competitor B,Partner X,Faster release
OPP-FY26-0124,NORAM,Enterprise,Company 124 - AI/ML Enablement,Prove,Owner 147,2,Q1 FY26,AI/ML Enablement,25819,Implementation plan,2025-12-11,,2026-01-21,,,,Company 124,Parent Account 128,Director IT,No,,,Fragmented tools,Exec mandate,Best fit,Internal Build,GSII,Security posture
OPP-FY26-0125,LAC,Public Sector,Company 125 - AI/ML Enablement,Commit,Owner 169,1,Q3 FY26,Data Platform Modernization,85145,POC run,2026-05-05,2026-06-06,,,,,Company 125,,,,No,No,Does not scale,Renewal soon,,Internal Build,Partner X,Security posture
OPP-FY26-0126,NORAM,SMB,Company 126 - Cloud Cost Optimization,Prove,Owner 12,1,Q1 FY26,DevOps & Automation,222854,Proposal review,2025-10-31,2025-11-28,,,,,Company 126,,,No,Yes,Yes,Fragmented tools,M&A drive,References match,Competitor B,None,Reduce Ops
OPP-FY26-0127,EMEA,Public Sector,Company 127 - AI/ML Enablement,Prove,Owner 156,1,Q1 FY26,DevOps & Automation,33046,Implementation plan,2025-10-27,2025-11-23,,,,,Company 127,,VP Eng,No,No,Yes,Does not scale,Exec mandate,,Status Quo,GSII,Security posture
OPP-FY26-0128,EMEA,Enterprise,Company 128 - Analytics & Reporting,Prove,Owner 144,1,Q2 FY26,AI/ML Enablement,42626,Proposal review,2026-03-31,2026-05-14,,,,,Company 128,Parent Account 171,Infra Lead,No,No,,,,Best fit,Competitor C,Partner Y,Visibility
OPP-FY26-0129,LAC,Mid-Market,Company 129 - DevOps & Automation,Commit,Owner 144,2,Q1 FY26,AI/ML Enablement,63563,,2025-11-22,2025-12-29,2026-01-03,,,,Company 129,Parent Account 179,VP Eng,Yes,No,No,,,References match,Competitor C,None,Reduce Ops
OPP-FY26-0130,APAC,Mid-Market,Company 130 - Security & Compliance,Commit,Owner 132,1,Q1 FY26,Cloud Cost Optimization,44263,Proposal review,2025-12-15,2026-01-15,,,,,Company 130,Parent Account 110,VP Eng,,,No,,Exec mandate,Strong roadmap,Status Quo,None,
OPP-FY26-0131,LAC,Public Sector,Company 131 - AI/ML Enablement,Explore,Owner 90,2,Q2 FY26,Security & Compliance,23614,,2026-02-12,2026-03-01,2026-03-15,,,,Company 131,,Infra Lead,No,No,,Does not scale,Budget expires FY,Strong roadmap,Competitor A,Consulting Co,Security posture
OPP-FY26-0132,APAC,SMB,Company 132 - DevOps & Automation,Explore,Owner 83,2,Q1 FY26,Customer 360 View,62388,Exec sponsor confirm,2025-10-07,2025-11-12,2025-12-08,,,,Company 132,Parent Account 25,CTO,Yes,Yes,Yes,Reg risk,Budget expires FY,References match,Competitor A,Partner Y,Visibility
OPP-FY26-0133,LAC,Mid-Market,Company 133 - Data Platform Modernization,Prove,Owner 100,2,Q1 FY26,AI/ML Enablement,31653,POC run,2025-10-10,,2025-10-25,,,,Company 133,Parent Account 111,,Yes,Yes,Yes,Fragmented tools,,Strong roadmap,Competitor C,Consulting Co,Faster release
OPP-FY26-0134,NORAM,Strategic Accounts,Company 134 - Analytics & Reporting,Commit,Owner 76,0,Q2 FY26,DevOps & Automation,79551,Proposal review,2026-01-30,,,,,,Company 134,Parent Account 174,Cloud Arch,No,Yes,,Fragmented tools,M&A drive,,Competitor C,Partner Y,Faster release
OPP-FY26-0135,LAC,Strategic Accounts,Company 135 - DevOps & Automation,Commit,Owner 19,4,Q1 FY26,Data Platform Modernization,34487,Exec sponsor confirm,2025-11-06,2025-11-19,,,242,,Company 135,Parent Account 65,,No,,,Fragmented tools,Exec mandate,Strong roadmap,Competitor C,None,Reduce Ops
OPP-FY26-0136,NORAM,Strategic Accounts,Company 136 - Data Platform Modernization,Prove,Owner 35,2,Q3 FY26,DevOps & Automation,151745,,2026-04-25,,2026-06-17,,,,Company 136,,Director IT,No,No,Yes,Fragmented tools,Budget expires FY,,Competitor A,Partner X,Visibility
OPP-FY26-0137,LAC,Mid-Market,Company 137 - Cloud Cost Optimization,Commit,Owner 67,0,Q3 FY26,Customer 360 View,37423,Exec sponsor confirm,2026-04-27,,,,,,Company 137,,Head of Data,Yes,Yes,,Fragmented tools,Renewal soon,Best fit,Competitor B,Consulting Co,
OPP-FY26-0138,NORAM,Public Sector,Company 138 - Analytics & Reporting,Prove,Owner 100,4,Q2 FY26,AI/ML Enablement,49353,,2026-03-18,,2026-05-02,,121,,Company 138,,,,No,No,Legacy expensive,M&A drive,Low TCO,Internal Build,Partner Y,Faster release
OPP-FY26-0139,NORAM,Enterprise,Company 139 - Customer 360 View,Commit,Owner 72,2,Q2 FY26,Security & Compliance,97549,Proposal review,2026-02-02,,2026-04-17,,,,Company 139,Parent Account 41,VP Eng,Yes,No,Yes,Reg risk,Budget expires FY,,Competitor A,Partner Y,
OPP-FY26-0140,APAC,SMB,Company 140 - Cloud Cost Optimization,Explore,Owner 115,4,Q1 FY26,Customer 360 View,28609,Exec sponsor confirm,2025-10-11,,,2025-12-07,284,,Company 140,,Cloud Arch,Yes,Yes,Yes,,Exec mandate,,Internal Build,Partner Y,
OPP-FY26-0141,LAC,Public Sector,Company 141 - Analytics & Reporting,Explore,Owner 24,4,Q3 FY26,AI/ML Enablement,68629,Deep dive,2026-05-09,,2026-07-12,2026-07-24,27,,Company 141,Parent Account 155,Head of Data,No,No,,Reg risk,M&A drive,Low TCO,Competitor C,Consulting Co,Reduce Ops
OPP-FY26-0142,GP&A,SMB,Company 142 - Security & Compliance,Explore,Owner 182,0,Q1 FY26,DevOps & Automation,131174,Exec sponsor confirm,2025-12-12,,,,,,Company 142,,Head of Data,Yes,Yes,No,,,References match,Status Quo,GSII,Faster release
OPP-FY26-0143,LAC,SMB,Company 143 - Analytics & Reporting,Commit,Owner 102,3,Q2 FY26,DevOps & Automation,22822,POC run,2026-02-19,2026-03-29,2026-05-01,2026-05-15,,,Company 143,Parent Account 169,CIO,No,,No,,Renewal soon,Best fit,Status Quo,Consulting Co,
OPP-FY26-0144,GP&A,Strategic Accounts,Company 144 - Customer 360 View,Commit,Owner 134,1,Q2 FY26,Data Platform Modernization,66888,,2026-01-03,2026-01-11,,,,,Company 144,,,Yes,,,Legacy expensive,Renewal soon,Low TCO,Competitor A,GSII,Faster release
OPP-FY26-0145,LAC,Public Sector,Company 145 - Data Platform Modernization,Prove,Owner 71,3,Q2 FY26,Security & Compliance,69977,Deep dive,2026-01-12,,2026-03-08,2026-04-13,,,Company 145,Parent Account 50,Director IT,Yes,No,Yes,Does not scale,Exec mandate,Strong roadmap,Internal Build,None,Faster release
OPP-FY26-0146,EMEA,Enterprise,Company 146 - AI/ML Enablement,Commit,Owner 57,2,Q3 FY26,DevOps & Automation,95711,Deep dive,2026-04-17,2026-05-19,2026-06-20,,,,Company 146,,Cloud Arch,No,Yes,,Fragmented tools,,Best fit,Competitor C,Partner Y,
OPP-FY26-0147,EMEA,Mid-Market,Company 147 - Security & Compliance,Explore,Owner 64,1,Q2 FY26,Analytics & Reporting,28504,Proposal review,2026-02-05,2026-02-20,,,,,Company 147,Parent Account 40,,Yes,No,Yes,Does not scale,M&A drive,Strong roadmap,Status Quo,GSII,
OPP-FY26-0148,GP&A,Enterprise,Company 148 - DevOps & Automation,Commit,Owner 118,4,Q1 FY26,Data Platform Modernization,27111,Implementation plan,2025-11-02,2025-11-08,,2026-01-13,227,,Company 148,Parent Account 4,Infra Lead,Yes,,,Reg risk,Exec mandate,References match,Internal Build,GSII,Security posture
OPP-FY26-0149,APAC,SMB,Company 149 - Analytics & Reporting,Explore,Owner 143,2,Q2 FY26,AI/ML Enablement,81892,Exec sponsor confirm,2026-01-24,,2026-03-18,,,,Company 149,,,Yes,,,Does not scale,,Low TCO,Competitor B,Partner X,Reduce Ops
OPP-FY26-0150,EMEA,SMB,Company 150 - Cloud Cost Optimization,Prove,Owner 32,3,Q3 FY26,Data Platform Modernization,71552,POC run,2026-05-03,2026-06-15,,2026-07-25,,,Company 150,,,Yes,No,No,Reg risk,M&A drive,References match,Competitor B,Partner Y,Security posture
OPP-FY26-0151,GP&A,SMB,Company 151 - AI/ML Enablement,Prove,Owner 192,4,Q2 FY26,Customer 360 View,69584,Implementation plan,2026-02-24,2026-03-24,2026-03-31,2026-04-08,162,,Company 151,Parent Account 116,,,Yes,,,Renewal soon,References match,Competitor A,Consulting Co,
OPP-FY26-0152,NORAM,Enterprise,Company 152 - Cloud Cost Optimization,Commit,Owner 92,4,Q1 FY26,Analytics & Reporting,73708,,2025-11-09,,2025-12-31,2026-01-27,224,,Company 152,,Cloud Arch,No,Yes,Yes,Reg risk,M&A drive,Strong roadmap,Internal Build,None,Reduce Ops
OPP-FY26-0153,NORAM,SMB,Company 153 - Data Platform Modernization,Prove,Owner 137,3,Q1 FY26,Cloud Cost Optimization,39814,Exec sponsor confirm,2025-12-18,,,2026-03-02,,,Company 153,Parent Account 126,Cloud Arch,Yes,No,Yes,Legacy expensive,M&A drive,Best fit,Internal Build,Consulting Co,
OPP-FY26-0154,LAC,SMB,Company 154 - AI/ML Enablement,Explore,Owner 18,3,Q2 FY26,Security & Compliance,68827,POC run,2026-03-10,2026-03-28,2026-05-03,2026-06-14,,,Company 154,Parent Account 29,Infra Lead,No,,,,,Best fit,Competitor A,Partner Y,
OPP-FY26-0155,APAC,SMB,Company 155 - Cloud Cost Optimization,Explore,Owner 15,3,Q1 FY26,Data Platform Modernization,71385,POC run,2025-11-25,2025-12-19,2026-01-17,2026-02-08,,,Company 155,,CIO,,No,,Legacy expensive,,,Competitor A,None,Reduce Ops
OPP-FY26-0156,LAC,Public Sector,Company 156 - Cloud Cost Optimization,Prove,Owner 124,2,Q3 FY26,DevOps & Automation,39002,Deep dive,2026-05-28,2026-06-20,2026-07-03,,,,Company 156,Parent Account 93,CIO,Yes,Yes,,Does not scale,M&A drive,Low TCO,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0157,LAC,SMB,Company 157 - Analytics & Reporting,Commit,Owner 16,0,Q1 FY26,Cloud Cost Optimization,183407,Proposal review,2025-12-03,,,,,,Company 157,Parent Account 40,Infra Lead,,,No,Reg risk,Renewal soon,Strong roadmap,Competitor C,Partner X,Faster release
OPP-FY26-0158,LAC,Public Sector,Company 158 - Security & Compliance,Explore,Owner 136,4,Q1 FY26,Security & Compliance,79562,POC run,2025-12-15,,2026-02-24,2026-03-11,164,,Company 158,Parent Account 68,Head of Data,Yes,No,Yes,Does not scale,,Low TCO,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0159,LAC,Enterprise,Company 159 - Cloud Cost Optimization,Explore,Owner 46,3,Q3 FY26,Analytics & Reporting,29296,,2026-04-15,,2026-06-04,2026-07-16,,,Company 159,Parent Account 28,,Yes,No,,Legacy expensive,,Best fit,Competitor A,Consulting Co,Visibility
OPP-FY26-0160,APAC,Mid-Market,Company 160 - Customer 360 View,Explore,Owner 26,3,Q3 FY26,DevOps & Automation,88781,Deep dive,2026-04-29,,,2026-07-12,,,Company 160,Parent Account 99,,Yes,Yes,No,Does not scale,M&A drive,Best fit,Status Quo,Consulting Co,Security posture
OPP-FY26-0161,EMEA,Public Sector,Company 161 - Security & Compliance,Commit,Owner 140,4,Q2 FY26,Security & Compliance,33362,Implementation plan,2026-03-03,2026-04-03,2026-04-28,2026-05-21,94,,Company 161,Parent Account 141,Infra Lead,No,,Yes,Fragmented tools,,,Competitor C,Partner X,Security posture
OPP-FY26-0162,NORAM,Mid-Market,Company 162 - Data Platform Modernization,Prove,Owner 24,4,Q2 FY26,Customer 360 View,96014,POC run,2026-02-20,,2026-05-09,,123,,Company 162,Parent Account 56,,No,Yes,Yes,,,Low TCO,Competitor C,GSII,Faster release
OPP-FY26-0163,LAC,Enterprise,Company 163 - DevOps & Automation,Commit,Owner 98,0,Q3 FY26,Cloud Cost Optimization,119989,Proposal review,2026-05-11,,,,,,Company 163,Parent Account 11,VP Eng,Yes,,No,,Exec mandate,,Competitor A,Consulting Co,Visibility
OPP-FY26-0164,NORAM,Strategic Accounts,Company 164 - Customer 360 View,Explore,Owner 125,2,Q1 FY26,AI/ML Enablement,36592,,2025-10-22,2025-11-19,2025-12-24,,,,Company 164,Parent Account 51,Head of Data,,No,No,,M&A drive,,Competitor C,None,Visibility
OPP-FY26-0165,GP&A,Enterprise,Company 165 - Analytics & Reporting,Explore,Owner 52,1,Q1 FY26,DevOps & Automation,106726,Procurement alignment,2025-12-29,2026-02-09,,,,,Company 165,Parent Account 194,Infra Lead,Yes,Yes,Yes,,,,Competitor B,None,
OPP-FY26-0166,LAC,Enterprise,Company 166 - Data Platform Modernization,Explore,Owner 16,4,Q3 FY26,Data Platform Modernization,76700,Deep dive,2026-04-11,2026-04-30,,2026-07-10,40,,Company 166,Parent Account 179,Head of Data,No,,No,Does not scale,,,Internal Build,None,Visibility
OPP-FY26-0167,APAC,Enterprise,Company 167 - Security & Compliance,Commit,Owner 79,3,Q3 FY26,Data Platform Modernization,98050,Procurement alignment,2026-05-10,,2026-07-27,2026-08-04,,,Company 167,Parent Account 191,,No,,No,Does not scale,Renewal soon,,Competitor C,Consulting Co,
OPP-FY26-0168,LAC,SMB,Company 168 - AI/ML Enablement,Commit,Owner 34,3,Q2 FY26,Security & Compliance,186852,Procurement alignment,2026-02-11,2026-03-25,2026-05-07,2026-05-24,,,Company 168,Parent Account 149,Head of Data,Yes,No,Yes,Legacy expensive,,,Competitor B,Partner X,Security posture
OPP-FY26-0169,NORAM,Enterprise,Company 169 - Analytics & Reporting,Commit,Owner 158,3,Q2 FY26,Data Platform Modernization,51676,,2026-01-14,2026-02-05,,2026-04-20,,,Company 169,Parent Account 157,CTO,Yes,,,Reg risk,,References match,Competitor B,Partner Y,
OPP-FY26-0170,APAC,Mid-Market,Company 170 - AI/ML Enablement,Commit,Owner 126,3,Q3 FY26,DevOps & Automation,38091,Proposal review,2026-04-14,,2026-05-07,2026-06-05,,,Company 170,Parent Account 118,CTO,Yes,No,No,Fragmented tools,M&A drive,Low TCO,Competitor B,None,Faster release
OPP-FY26-0171,APAC,Mid-Market,Company 171 - Data Platform Modernization,Prove,Owner 102,0,Q2 FY26,Data Platform Modernization,35111,Procurement alignment,2026-02-20,,,,,,Company 171,,VP Eng,No,Yes,Yes,,,Best fit,Competitor C,Consulting Co,
OPP-FY26-0172,APAC,Enterprise,Company 172 - Cloud Cost Optimization,Commit,Owner 116,4,Q3 FY26,DevOps & Automation,36699,Proposal review,2026-05-18,2026-06-02,2026-07-04,2026-07-12,61,,Company 172,Parent Account 135,Infra Lead,Yes,,Yes,,,Low TCO,Competitor C,Consulting Co,Security posture
OPP-FY26-0173,APAC,Public Sector,Company 173 - Analytics & Reporting,Prove,Owner 4,0,Q3 FY26,AI/ML Enablement,57167,Proposal review,2026-05-19,,,,,,Company 173,Parent Account 128,Head of Data,,No,,,Exec mandate,,Competitor B,Partner X,
OPP-FY26-0174,EMEA,SMB,Company 174 - Cloud Cost Optimization,Explore,Owner 28,0,Q2 FY26,AI/ML Enablement,73474,Exec sponsor confirm,2026-03-20,,,,,,Company 174,,CTO,Yes,No,Yes,Does not scale,M&A drive,References match,Competitor A,GSII,
OPP-FY26-0175,APAC,Enterprise,Company 175 - Customer 360 View,Commit,Owner 162,2,Q1 FY26,Customer 360 View,70686,,2025-12-24,2026-01-29,2026-02-27,,,,Company 175,,Director IT,No,,No,Reg risk,M&A drive,Best fit,Competitor B,GSII,
OPP-FY26-0176,NORAM,Public Sector,Company 176 - AI/ML Enablement,Prove,Owner 12,0,Q2 FY26,Data Platform Modernization,98352,Implementation plan,2026-01-28,,,,,,Company 176,Parent Account 164,,Yes,No,No,Does not scale,Renewal soon,Strong roadmap,Status Quo,None,Visibility
OPP-FY26-0177,GP&A,Enterprise,Company 177 - DevOps & Automation,Explore,Owner 124,1,Q1 FY26,Security & Compliance,60343,Implementation plan,2025-12-24,2026-01-17,,,,,Company 177,Parent Account 138,VP Eng,No,Yes,No,Does not scale,,Strong roadmap,Competitor C,Partner X,
OPP-FY26-0178,NORAM,Public Sector,Company 178 - Customer 360 View,Prove,Owner 48,0,Q1 FY26,Customer 360 View,143217,Procurement alignment,2025-12-26,,,,,,Company 178,Parent Account 193,VP Eng,No,No,No,Does not scale,,,Competitor C,Partner X,Reduce Ops
OPP-FY26-0179,LAC,SMB,Company 179 - Analytics & Reporting,Prove,Owner 37,3,Q2 FY26,Analytics & Reporting,51082,Procurement alignment,2026-02-07,,2026-03-16,2026-04-20,,,Company 179,,Cloud Arch,,Yes,,Fragmented tools,,,Competitor C,Partner X,Security posture
OPP-FY26-0180,LAC,SMB,Company 180 - Analytics & Reporting,Prove,Owner 172,1,Q1 FY26,Cloud Cost Optimization,306232,Proposal review,2025-12-22,2026-01-06,,,,,Company 180,Parent Account 41,,,No,,Does not scale,,Strong roadmap,Competitor A,Partner Y,Visibility
OPP-FY26-0181,GP&A,Strategic Accounts,Company 181 - Security & Compliance,Commit,Owner 153,0,Q1 FY26,Customer 360 View,87151,,2025-10-28,,,,,,Company 181,Parent Account 177,Infra Lead,No,Yes,Yes,Reg risk,Renewal soon,,Competitor C,Consulting Co,
OPP-FY26-0182,GP&A,Mid-Market,Company 182 - DevOps & Automation,Commit,Owner 85,1,Q1 FY26,Analytics & Reporting,35800,POC run,2025-11-06,2025-12-18,,,,,Company 182,,VP Eng,,Yes,No,Does not scale,Budget expires FY,References match,Competitor A,GSII,Visibility
OPP-FY26-0183,NORAM,Public Sector,Company 183 - AI/ML Enablement,Prove,Owner 146,4,Q2 FY26,Analytics & Reporting,31491,,2026-01-27,2026-02-24,2026-04-05,2026-05-04,131,,Company 183,Parent Account 178,,Yes,,No,Fragmented tools,,,Competitor A,None,Faster release
OPP-FY26-0184,LAC,Enterprise,Company 184 - Analytics & Reporting,Explore,Owner 170,0,Q1 FY26,Security & Compliance,79976,Proposal review,2025-10-24,,,,,,Company 184,Parent Account 75,Director IT,,,No,Reg risk,Exec mandate,Low TCO,Status Quo,Consulting Co,Reduce Ops
