opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-HIST-00287,GP&A,SMB,Company 1287 - Cloud Cost Optimization,Explore,Owner 193,Closed Lost,Q2 FY24,Cloud Cost Optimization,107338,,2024-01-07,2024-01-16,2024-01-27,2024-02-04,23,2024-04-12,Company 1287,Parent Account 135,CIO,No,Yes,Yes,,,Best fit,Status Quo,GSII,Visibility
OPP-HIST-00288,GP&A,Strategic Accounts,Company 1288 - Security & Compliance,Commit,Owner 26,Closed Won,Q1 FY24,Analytics & Reporting,82572,Implementation plan,2023-10-16,2023-11-07,2023-12-01,2023-12-06,,2024-02-10,Company 1288,Parent Account 59,Cloud Arch,Yes,No,Yes,,Exec mandate,Best fit,Competitor C,Partner X,Reduce Ops
OPP-HIST-00289,EMEA,SMB,Company 1289 - Customer 360 View,Explore,Owner 192,Closed Lost,Q1 FY25,DevOps & Automation,57004,,2024-11-30,2024-12-09,2024-12-27,2025-01-15,,2025-02-28,Company 1289,Parent Account 22,Head of Data,Yes,Yes,,Fragmented tools,Budget expires FY,References match,Competitor A,GSII,Visibility
OPP-HIST-00290,NORAM,Public Sector,Company 1290 - Cloud Cost Optimization,Commit,Owner 14,Closed Lost,Q1 FY25,Security & Compliance,18719,Deep dive,2024-10-30,2024-12-01,2025-01-11,,,2025-03-14,Company 1290,,CTO,Yes,Yes,,Reg risk,,Low TCO,Status Quo,None,Faster release
OPP-HIST-00291,GP&A,Public Sector,Company 1291 - Security & Compliance,Commit,Owner 127,Closed Won,Q1 FY24,Security & Compliance,80880,,2023-12-14,2024-01-08,,,,2024-05-04,Company 1291,,VP Eng,,No,No,,,,Internal Build,GSII,Security posture
OPP-HIST-00292,APAC,Enterprise,Company 1292 - Analytics & Reporting,Prove,Owner 26,Closed Won,Q3 FY25,Security & Compliance,69243,Proposal review,2025-04-04,,,,35,2025-08-14,Company 1292,Parent Account 16,CIO,,,Yes,,Budget expires FY,Low TCO,Internal Build,None,Visibility
OPP-HIST-00293,LAC,Enterprise,Company 1293 - AI/ML Enablement,Commit,Owner 131,Closed Lost,Q1 FY25,DevOps & Automation,72410,Proposal review,2024-11-26,2024-12-25,2024-12-28,2025-01-15,39,2025-04-01,Company 1293,Parent Account 124,,Yes,,Yes,Reg risk,,,Competitor C,Partner X,
OPP-HIST-00294,GP&A,Public Sector,Company 1294 - AI/ML Enablement,Explore,Owner 158,Closed Lost,Q1 FY24,Data Platform Modernization,24496,POC run,2023-10-02,2023-11-07,2023-12-03,2023-12-11,40,2024-01-30,Company 1294,Parent Account 30,Head of Data,No,Yes,Yes,Reg risk,,Strong roadmap,Competitor B,Consulting Co,Faster release
OPP-HIST-00295,APAC,Mid-Market,Company 1295 - DevOps & Automation,Explore,Owner 56,Closed Lost,Q1 FY24,DevOps & Automation,28092,Implementation plan,2023-11-26,2023-11-30,,2024-01-21,16,2024-03-11,Company 1295,Parent Account 18,VP Eng,No,Yes,Yes,,,References match,Competitor A,GSII,Reduce Ops
OPP-HIST-00296,APAC,SMB,Company 1296 - AI/ML Enablement,Prove,Owner 97,Closed Lost,Q1 FY24,Customer 360 View,125142,Procurement alignment,2023-11-17,2023-12-08,2024-01-12,2024-01-29,41,2024-03-20,Company 1296,Parent Account 124,CIO,,No,No,Legacy expensive,Budget expires FY,Low TCO,Status Quo,Partner Y,Reduce Ops
OPP-HIST-00297,EMEA,Enterprise,Company 1297 - AI/ML Enablement,Commit,Owner 176,Closed Won,Q3 FY25,Customer 360 View,58239,,2025-05-31,2025-07-11,,2025-09-04,,2025-09-25,Company 1297,Parent Account 140,Director IT,Yes,Yes,,Fragmented tools,M&A drive,References match,Internal Build,None,Security posture
OPP-HIST-00298,LAC,Strategic Accounts,Company 1298 - Analytics & Reporting,Prove,Owner 107,Closed Lost,Q1 FY24,Customer 360 View,96476,,2023-12-12,,,2024-04-03,,2024-06-25,Company 1298,,Head of Data,Yes,Yes,,Does not scale,,,Competitor A,Partner Y,Faster release
OPP-HIST-00299,LAC,Mid-Market,Company 1299 - Customer 360 View,Commit,Owner 182,Closed Won,Q1 FY24,AI/ML Enablement,61072,,2023-12-30,2024-01-30,2024-02-13,,29,2024-04-20,Company 1299,Parent Account 43,,Yes,Yes,No,,,Best fit,Competitor B,Consulting Co,Visibility
OPP-HIST-00300,NORAM,Public Sector,Company 1300 - Data Platform Modernization,Commit,Owner 76,Closed Lost,Q2 FY24,Customer 360 View,61134,Deep dive,2024-01-29,,2024-04-16,2024-05-10,40,2024-07-09,Company 1300,,Head of Data,No,Yes,,Does not scale,Budget expires FY,,Competitor C,GSII,Visibility
OPP-HIST-00301,NORAM,Enterprise,Company 1301 - Analytics & Reporting,Commit,Owner 47,Closed Won,Q3 FY24,AI/ML Enablement,115473,Procurement alignment,2024-05-01,2024-06-11,2024-06-25,2024-07-18,7,2024-09-01,Company 1301,,CIO,No,No,Yes,Does not scale,Renewal soon,Best fit,Status Quo,Partner Y,Visibility
OPP-HIST-00302,NORAM,SMB,Company 1302 - DevOps & Automation,Explore,Owner 144,Closed Won,Q2 FY25,DevOps & Automation,41721,Exec sponsor confirm,2025-03-03,,2025-05-06,2025-06-20,42,2025-08-25,Company 1302,Parent Account 124,Infra Lead,Yes,Yes,,,,References match,Internal Build,Partner Y,Visibility
OPP-HIST-00303,NORAM,Enterprise,Company 1303 - AI/ML Enablement,Commit,Owner 63,Closed Won,Q1 FY24,DevOps & Automation,64041,Implementation plan,2023-12-15,,,2024-01-23,,2024-03-18,Company 1303,Parent Account 81,VP Eng,Yes,Yes,No,,,,Competitor C,Partner Y,
OPP-HIST-00304,LAC,SMB,Company 1304 - Cloud Cost Optimization,Prove,Owner 127,Closed Lost,Q2 FY25,Security & Compliance,43321,,2025-01-21,2025-02-19,2025-03-16,,45,2025-05-18,Company 1304,Parent Account 159,,Yes,No,Yes,Does not scale,Renewal soon,Best fit,Competitor A,Partner X,Visibility
OPP-HIST-00305,GP&A,Public Sector,Company 1305 - DevOps & Automation,Prove,Owner 154,Closed Won,Q1 FY24,Analytics & Reporting,44172,Procurement alignment,2023-12-21,2024-02-01,,2024-03-06,,2024-05-24,Company 1305,Parent Account 89,CTO,,,Yes,Legacy expensive,Renewal soon,Best fit,Competitor C,Partner Y,Security posture
OPP-HIST-00306,LAC,Mid-Market,Company 1306 - Security & Compliance,Prove,Owner 54,Closed Lost,Q1 FY25,Data Platform Modernization,48222,Implementation plan,2024-12-15,2024-12-18,,,35,2025-04-03,Company 1306,Parent Account 189,Head of Data,No,No,No,,Budget expires FY,Best fit,Competitor C,Partner X,Faster release
OPP-HIST-00307,GP&A,Enterprise,Company 1307 - Security & Compliance,Commit,Owner 110,Closed Lost,Q3 FY24,Data Platform Modernization,69947,Exec sponsor confirm,2024-05-01,2024-05-05,2024-06-13,2024-07-08,38,2024-08-28,Company 1307,Parent Account 83,,No,,Yes,,,,Competitor C,GSII,Faster release
OPP-HIST-00308,APAC,Strategic Accounts,Company 1308 - Customer 360 View,Explore,Owner 22,Closed Lost,Q2 FY25,Customer 360 View,42824,Implementation plan,2025-01-20,2025-02-19,2025-03-22,2025-05-01,,2025-07-19,Company 1308,Parent Account 22,,Yes,No,,Reg risk,Exec mandate,,Competitor C,Partner X,Faster release
OPP-HIST-00309,GP&A,Public Sector,Company 1309 - Customer 360 View,Prove,Owner 5,Closed Lost,Q2 FY25,Data Platform Modernization,144210,POC run,2025-01-07,2025-02-10,2025-03-27,,39,2025-06-14,Company 1309,,CIO,No,Yes,,Does not scale,,Best fit,Internal Build,Partner X,Security posture
OPP-HIST-00310,APAC,Strategic Accounts,Company 1310 - Analytics & Reporting,Explore,Owner 133,Closed Lost,Q1 FY25,Customer 360 View,32009,Exec sponsor confirm,2024-12-24,2024-12-30,,2025-02-23,34,2025-04-21,Company 1310,Parent Account 192,Director IT,Yes,Yes,,,Renewal soon,Best fit,Status Quo,Consulting Co,
OPP-HIST-00311,GP&A,Strategic Accounts,Company 1311 - Cloud Cost Optimization,Explore,Owner 100,Closed Lost,Q2 FY25,AI/ML Enablement,52532,Procurement alignment,2025-03-16,2025-04-01,,2025-04-25,35,2025-07-13,Company 1311,Parent Account 50,Infra Lead,No,,No,Reg risk,,Low TCO,Competitor B,Partner Y,Reduce Ops
OPP-HIST-00312,GP&A,Mid-Market,Company 1312 - AI/ML Enablement,Explore,Owner 101,Closed Lost,Q1 FY25,Customer 360 View,44010,,2024-10-23,2024-11-25,2024-12-01,2025-01-01,10,2025-01-28,Company 1312,Parent Account 11,Head of Data,No,No,No,Does not scale,Exec mandate,,Competitor C,Partner Y,Faster release
OPP-HIST-00313,GP&A,Strategic Accounts,Company 1313 - AI/ML Enablement,Prove,Owner 21,Closed Lost,Q3 FY25,Customer 360 View,164865,Deep dive,2025-05-13,2025-05-17,2025-06-04,,32,2025-09-04,Company 1313,Parent Account 52,,No,Yes,,Fragmented tools,Renewal soon,Strong roadmap,Internal Build,GSII,Faster release
OPP-HIST-00314,NORAM,Mid-Market,Company 1314 - Analytics & Reporting,Commit,Owner 34,Closed Lost,Q1 FY25,AI/ML Enablement,68705,Proposal review,2024-12-01,2024-12-22,2025-01-10,2025-02-03,36,2025-03-29,Company 1314,,Infra Lead,Yes,,Yes,,Budget expires FY,Strong roadmap,Competitor A,Partner X,Faster release
OPP-HIST-00315,EMEA,Strategic Accounts,Company 1315 - AI/ML Enablement,Prove,Owner 24,Closed Lost,Q1 FY25,Customer 360 View,123289,Deep dive,2024-10-23,2024-11-30,2024-12-09,2025-01-01,16,2025-02-21,Company 1315,Parent Account 1,VP Eng,No,No,Yes,Fragmented tools,Budget expires FY,Strong roadmap,Status Quo,GSII,Visibility
OPP-HIST-00316,GP&A,Mid-Market,Company 1316 - Customer 360 View,Commit,Owner 109,Closed Won,Q1 FY25,Security & Compliance,21165,Deep dive,2024-12-10,2024-12-23,,2025-01-26,,2025-02-12,Company 1316,Parent Account 15,,Yes,,No,,,,Internal Build,GSII,Security posture
OPP-HIST-00317,GP&A,Mid-Market,Company 1317 - Analytics & Reporting,Prove,Owner 22,Closed Lost,Q1 FY24,AI/ML Enablement,72181,Proposal review,2023-12-23,2024-02-02,2024-02-21,2024-03-13,4,2024-03-26,Company 1317,Parent Account 128,Director IT,,Yes,Yes,,Exec mandate,,Internal Build,GSII,Visibility
OPP-HIST-00318,APAC,Public Sector,Company 1318 - Customer 360 View,Prove,Owner 181,Closed Won,Q3 FY25,Security & Compliance,111607,Exec sponsor confirm,2025-05-28,2025-07-03,2025-08-09,2025-09-04,0,2025-09-25,Company 1318,,Head of Data,No,Yes,No,,Budget expires FY,Low TCO,Competitor C,None,Visibility
OPP-HIST-00319,NORAM,Enterprise,Company 1319 - DevOps & Automation,Commit,Owner 95,Closed Lost,Q1 FY25,DevOps & Automation,63424,Proposal review,2024-10-11,2024-10-17,,,19,2025-01-03,Company 1319,,Cloud Arch,,,Yes,,,,Competitor C,GSII,Reduce Ops
OPP-HIST-00320,LAC,Strategic Accounts,Company 1320 - Data Platform Modernization,Commit,Owner 141,Closed Lost,Q1 FY25,DevOps & Automation,126226,Deep dive,2024-12-22,,2025-01-13,2025-01-28,22,2025-02-25,Company 1320,,VP Eng,No,No,,Legacy expensive,,Strong roadmap,Competitor A,Consulting Co,Security posture
OPP-HIST-00321,NORAM,Mid-Market,Company 1321 - DevOps & Automation,Prove,Owner 35,Closed Won,Q3 FY25,AI/ML Enablement,41685,Implementation plan,2025-05-23,2025-06-01,2025-06-05,2025-07-04,,2025-08-09,Company 1321,Parent Account 107,Cloud Arch,,Yes,No,,M&A drive,References match,Competitor A,None,Reduce Ops
OPP-HIST-00322,NORAM,Mid-Market,Company 1322 - Customer 360 View,Commit,Owner 117,Closed Won,Q3 FY24,DevOps & Automation,160579,Implementation plan,2024-04-22,,2024-05-03,2024-05-06,39,2024-07-09,Company 1322,Parent Account 38,,No,No,No,Does not scale,M&A drive,Best fit,Competitor A,GSII,
OPP-HIST-00323,APAC,Mid-Market,Company 1323 - Analytics & Reporting,Explore,Owner 68,Closed Won,Q1 FY25,AI/ML Enablement,299308,Deep dive,2024-10-12,2024-11-05,2024-12-10,2025-01-23,12,2025-02-08,Company 1323,,Cloud Arch,No,No,,,Renewal soon,Strong roadmap,Competitor C,Partner Y,
OPP-HIST-00324,LAC,Public Sector,Company 1324 - Analytics & Reporting,Explore,Owner 19,Closed Won,Q2 FY24,AI/ML Enablement,46444,Procurement alignment,2024-03-09,2024-04-03,2024-05-03,2024-05-14,35,2024-07-05,Company 1324,Parent Account 14,Director IT,Yes,Yes,Yes,Legacy expensive,Renewal soon,References match,Competitor C,Consulting Co,Visibility
OPP-HIST-00325,LAC,Mid-Market,Company 1325 - DevOps & Automation,Commit,Owner 75,Closed Lost,Q1 FY25,Cloud Cost Optimization,43833,POC run,2024-11-24,2024-12-29,2025-01-02,2025-01-18,10,2025-02-21,Company 1325,Parent Account 193,CIO,Yes,Yes,Yes,Does not scale,M&A drive,Low TCO,Competitor C,Partner Y,Reduce Ops
OPP-HIST-00326,NORAM,Public Sector,Company 1326 - Security & Compliance,Prove,Owner 199,Closed Won,Q1 FY24,Analytics & Reporting,165606,POC run,2023-10-03,2023-11-10,2023-11-29,2024-01-03,28,2024-03-07,Company 1326,,Head of Data,Yes,Yes,,,Exec mandate,Strong roadmap,Internal Build,Consulting Co,Faster release
OPP-HIST-00327,NORAM,Enterprise,Company 1327 - Security & Compliance,Prove,Owner 163,Closed Won,Q2 FY25,Cloud Cost Optimization,180900,Exec sponsor confirm,2025-03-06,2025-04-03,,,17,2025-07-10,Company 1327,,VP Eng,No,Yes,No,Reg risk,Renewal soon,Low TCO,Competitor C,None,Faster release
OPP-HIST-00328,GP&A,SMB,Company 1328 - Analytics & Reporting,Prove,Owner 19,Closed Lost,Q1 FY25,Analytics & Reporting,41522,Proposal review,2024-11-10,,2025-01-10,2025-02-02,,2025-03-28,Company 1328,Parent Account 80,CIO,No,,Yes,Fragmented tools,Budget expires FY,,Competitor A,Consulting Co,Reduce Ops
OPP-HIST-00329,NORAM,SMB,Company 1329 - Analytics & Reporting,Commit,Owner 154,Closed Won,Q3 FY24,AI/ML Enablement,44616,Exec sponsor confirm,2024-04-06,,2024-06-07,,33,2024-09-25,Company 1329,Parent Account 142,CIO,No,Yes,Yes,,Exec mandate,Low TCO,Competitor C,Partner Y,Faster release
OPP-HIST-00330,NORAM,Strategic Accounts,Company 1330 - Cloud Cost Optimization,Commit,Owner 112,Closed Lost,Q3 FY24,Analytics & Reporting,49155,POC run,2024-05-13,2024-06-18,2024-07-16,,9,2024-09-25,Company 1330,Parent Account 192,Cloud Arch,Yes,Yes,Yes,Does not scale,,Best fit,Competitor C,Consulting Co,Faster release
OPP-HIST-00331,NORAM,Public Sector,Company 1331 - Security & Compliance,Explore,Owner 173,Closed Lost,Q1 FY25,AI/ML Enablement,23362,Implementation plan,2024-11-09,2024-12-14,2025-01-09,2025-01-14,8,2025-02-04,Company 1331,Parent Account 82,,Yes,,No,,,Low TCO,Competitor C,Partner X,Visibility
OPP-HIST-00332,APAC,Strategic Accounts,Company 1332 - Data Platform Modernization,Commit,Owner 139,Closed Won,Q2 FY24,Customer 360 View,31474,Proposal review,2024-02-01,2024-02-27,,,39,2024-05-21,Company 1332,,Cloud Arch,No,,No,Reg risk,Renewal soon,Strong roadmap,Status Quo,GSII,Reduce Ops
OPP-HIST-00333,LAC,SMB,Company 1333 - Analytics & Reporting,Commit,Owner 14,Closed Lost,Q3 FY24,AI/ML Enablement,29646,Proposal review,2024-04-14,,2024-06-20,2024-07-23,,2024-09-25,Company 1333,,Infra Lead,Yes,No,,Fragmented tools,,Strong roadmap,Internal Build,Consulting Co,Reduce Ops
OPP-HIST-00334,EMEA,Strategic Accounts,Company 1334 - Data Platform Modernization,Explore,Owner 58,Closed Lost,Q1 FY25,Data Platform Modernization,34980,Procurement alignment,2024-12-07,2024-12-25,2025-02-08,,19,2025-04-20,Company 1334,Parent Account 188,Infra Lead,Yes,No,No,,Budget expires FY,Strong roadmap,Competitor A,None,Security posture
OPP-HIST-00335,APAC,Mid-Market,Company 1335 - AI/ML Enablement,Explore,Owner 62,Closed Won,Q3 FY25,DevOps & Automation,58437,POC run,2025-05-02,2025-06-05,,2025-08-05,44,2025-09-27,Company 1335,,Cloud Arch,No,,Yes,Reg risk,,References match,Internal Build,Partner Y,
OPP-HIST-00336,NORAM,Public Sector,Company 1336 - Analytics & Reporting,Prove,Owner 26,Closed Won,Q1 FY24,Cloud Cost Optimization,70541,Deep dive,2023-12-21,2024-01-29,,2024-02-27,16,2024-04-19,Company 1336,Parent Account 158,,Yes,No,No,Does not scale,M&A drive,Best fit,Competitor C,GSII,Visibility
OPP-HIST-00337,NORAM,Strategic Accounts,Company 1337 - AI/ML Enablement,Explore,Owner 95,Closed Lost,Q1 FY25,DevOps & Automation,177256,Proposal review,2024-10-29,2024-11-24,2025-01-03,2025-01-21,38,2025-04-14,Company 1337,Parent Account 105,CIO,,,Yes,Legacy expensive,Renewal soon,,Competitor B,Partner X,Faster release
OPP-HIST-00338,GP&A,Enterprise,Company 1338 - DevOps & Automation,Prove,Owner 134,Closed Won,Q2 FY24,Security & Compliance,29766,Implementation plan,2024-02-04,2024-03-18,2024-04-09,,30,2024-07-07,Company 1338,,Cloud Arch,Yes,No,Yes,Reg risk,Budget expires FY,Low TCO,Competitor C,Partner Y,
OPP-HIST-00339,NORAM,Mid-Market,Company 1339 - Analytics & Reporting,Explore,Owner 20,Closed Lost,Q3 FY25,DevOps & Automation,119255,Deep dive,2025-04-26,2025-06-05,2025-06-24,2025-07-01,35,2025-08-17,Company 1339,Parent Account 83,Cloud Arch,,Yes,Yes,Does not scale,Exec mandate,Strong roadmap,Competitor C,Consulting Co,Security posture
OPP-HIST-00340,NORAM,Strategic Accounts,Company 1340 - AI/ML Enablement,Explore,Owner 131,Closed Won,Q2 FY24,DevOps & Automation,51544,Implementation plan,2024-03-24,2024-04-16,2024-05-06,2024-05-27,10,2024-06-13,Company 1340,Parent Account 15,CTO,Yes,Yes,No,Fragmented tools,Exec mandate,,Competitor B,Partner Y,Visibility
OPP-HIST-00341,GP&A,Enterprise,Company 1341 - Security & Compliance,Explore,Owner 131,Closed Lost,Q2 FY24,Analytics & Reporting,57836,Exec sponsor confirm,2024-02-11,2024-02-29,2024-03-15,,20,2024-05-15,Company 1341,Parent Account 75,Director IT,Yes,Yes,No,Legacy expensive,,,Internal Build,Consulting Co,Visibility
OPP-HIST-00342,LAC,Mid-Market,Company 1342 - Cloud Cost Optimization,Explore,Owner 172,Closed Won,Q1 FY24,AI/ML Enablement,96025,Deep dive,2023-10-25,2023-11-28,2023-12-10,2023-12-15,37,2024-02-11,Company 1342,,Infra Lead,No,No,Yes,Fragmented tools,Exec mandate,Best fit,Competitor A,Consulting Co,Security posture
OPP-HIST-00343,APAC,Enterprise,Company 1343 - Customer 360 View,Explore,Owner 189,Closed Lost,Q2 FY25,Customer 360 View,27285,Exec sponsor confirm,2025-02-22,,2025-05-11,2025-05-14,22,2025-06-22,Company 1343,Parent Account 49,Director IT,Yes,No,No,Fragmented tools,,Best fit,Internal Build,Partner Y,Security posture
OPP-HIST-00344,LAC,Enterprise,Company 1344 - Security & Compliance,Commit,Owner 60,Closed Won,Q1 FY24,Analytics & Reporting,78251,POC run,2023-10-01,2023-10-12,2023-10-26,2023-11-05,39,2024-01-13,Company 1344,,Head of Data,,,No,Does not scale,M&A drive,Strong roadmap,Competitor B,GSII,
OPP-HIST-00345,GP&A,Public Sector,Company 1345 - Customer 360 View,Explore,Owner 57,Closed Lost,Q1 FY24,Analytics & Reporting,67273,Implementation plan,2023-10-21,,,2023-11-26,37,2024-01-14,Company 1345,,Head of Data,No,Yes,,Does not scale,M&A drive,,Competitor C,Consulting Co,Visibility
OPP-HIST-00346,GP&A,Strategic Accounts,Company 1346 - AI/ML Enablement,Prove,Owner 171,Closed Lost,Q1 FY25,Analytics & Reporting,84517,Deep dive,2024-12-04,2025-01-10,,2025-03-11,38,2025-05-31,Company 1346,Parent Account 100,VP Eng,No,No,Yes,Reg risk,,,Internal Build,Consulting Co,Security posture
OPP-HIST-00347,GP&A,Mid-Market,Company 1347 - Analytics & Reporting,Explore,Owner 139,Closed Won,Q3 FY25,Data Platform Modernization,73307,Implementation plan,2025-05-18,2025-06-06,2025-06-30,2025-07-10,22,2025-08-04,Company 1347,Parent Account 88,Cloud Arch,,No,No,Reg risk,,References match,Status Quo,Consulting Co,Faster release
OPP-HIST-00348,LAC,SMB,Company 1348 - Data Platform Modernization,Commit,Owner 7,Closed Won,Q1 FY24,Customer 360 View,333937,Exec sponsor confirm,2023-12-14,2024-01-08,2024-02-06,,12,2024-04-14,Company 1348,Parent Account 130,VP Eng,No,No,Yes,Reg risk,Budget expires FY,,Status Quo,Partner Y,Faster release
OPP-HIST-00349,NORAM,Strategic Accounts,Company 1349 - AI/ML Enablement,Commit,Owner 48,Closed Lost,Q2 FY24,Cloud Cost Optimization,38314,,2024-03-08,2024-04-08,,2024-06-10,41,2024-08-21,Company 1349,Parent Account 22,CIO,Yes,,,Fragmented tools,,,Competitor B,Partner X,
OPP-HIST-00350,EMEA,Mid-Market,Company 1350 - DevOps & Automation,Explore,Owner 103,Closed Lost,Q1 FY25,DevOps & Automation,41286,Procurement alignment,2024-11-28,2024-12-17,2025-01-06,2025-02-02,28,2025-03-06,Company 1350,Parent Account 88,Director IT,No,Yes,,,,References match,Competitor C,GSII,Security posture
OPP-HIST-00351,EMEA,Mid-Market,Company 1351 - Customer 360 View,Explore,Owner 83,Closed Won,Q3 FY24,AI/ML Enablement,38708,Proposal review,2024-05-30,2024-06-23,2024-07-11,2024-07-20,,2024-09-08,Company 1351,Parent Account 78,CTO,Yes,No,No,Fragmented tools,,,Competitor B,Partner X,
OPP-HIST-00352,GP&A,Mid-Market,Company 1352 - Customer 360 View,Prove,Owner 52,Closed Won,Q2 FY25,Data Platform Modernization,40585,Procurement alignment,2025-03-09,2025-04-01,2025-05-09,2025-06-06,16,2025-07-21,Company 1352,,Cloud Arch,No,Yes,Yes,Reg risk,Renewal soon,,Competitor B,None,Visibility
OPP-HIST-00353,APAC,Enterprise,Company 1353 - DevOps & Automation,Prove,Owner 93,Closed Lost,Q1 FY24,Data Platform Modernization,38323,Proposal review,2023-10-21,2023-10-26,,2023-12-15,,2024-02-09,Company 1353,,CIO,No,,No,Legacy expensive,Exec mandate,Low TCO,Competitor C,Partner Y,Faster release
OPP-HIST-00354,NORAM,Mid-Market,Company 1354 - Cloud Cost Optimization,Commit,Owner 96,Closed Lost,Q1 FY25,Security & Compliance,137628,Exec sponsor confirm,2024-12-04,,2025-01-06,2025-01-12,,2025-02-26,Company 1354,,Infra Lead,No,Yes,Yes,Does not scale,,References match,Competitor C,None,Security posture
OPP-HIST-00355,APAC,Public Sector,Company 1355 - Security & Compliance,Prove,Owner 19,Closed Won,Q2 FY24,Cloud Cost Optimization,161838,Procurement alignment,2024-03-11,2024-04-12,2024-04-15,2024-04-24,5,2024-05-25,Company 1355,Parent Account 144,CTO,,Yes,No,Does not scale,Budget expires FY,Strong roadmap,Status Quo,Partner X,Security posture
OPP-HIST-00356,APAC,Strategic Accounts,Company 1356 - Data Platform Modernization,Prove,Owner 78,Closed Won,Q3 FY25,Analytics & Reporting,40154,,2025-05-21,2025-06-16,2025-07-09,2025-07-19,,2025-08-25,Company 1356,,CTO,No,,Yes,Fragmented tools,Budget expires FY,Best fit,Status Quo,Consulting Co,
OPP-HIST-00357,GP&A,Public Sector,Company 1357 - AI/ML Enablement,Explore,Owner 155,Closed Lost,Q2 FY25,Data Platform Modernization,33434,POC run,2025-01-20,,2025-03-26,2025-04-08,22,2025-05-19,Company 1357,Parent Account 87,Director IT,No,Yes,Yes,,Renewal soon,,Status Quo,Consulting Co,Visibility
OPP-HIST-00358,NORAM,Mid-Market,Company 1358 - Data Platform Modernization,Prove,Owner 153,Closed Won,Q2 FY25,Cloud Cost Optimization,83282,Proposal review,2025-02-23,2025-03-16,2025-03-19,2025-04-29,,2025-06-04,Company 1358,Parent Account 154,,Yes,No,Yes,,,Low TCO,Competitor B,Partner Y,Faster release
OPP-HIST-00359,EMEA,Public Sector,Company 1359 - Customer 360 View,Commit,Owner 70,Closed Lost,Q2 FY24,Analytics & Reporting,40678,Proposal review,2024-02-03,2024-02-27,2024-03-27,,3,2024-05-11,Company 1359,Parent Account 41,Head of Data,Yes,No,No,Reg risk,Renewal soon,Best fit,Competitor A,Partner Y,Reduce Ops
OPP-HIST-00360,APAC,Strategic Accounts,Company 1360 - Data Platform Modernization,Prove,Owner 105,Closed Won,Q3 FY25,Analytics & Reporting,93251,,2025-04-08,,2025-06-01,,23,2025-08-09,Company 1360,,VP Eng,No,Yes,No,Fragmented tools,,,Status Quo,Consulting Co,Reduce Ops
OPP-HIST-00361,EMEA,SMB,Company 1361 - Analytics & Reporting,Explore,Owner 190,Closed Won,Q3 FY25,Analytics & Reporting,69012,Procurement alignment,2025-04-07,,,2025-07-03,39,2025-08-31,Company 1361,,VP Eng,No,Yes,,Fragmented tools,,,Competitor C,Partner Y,
OPP-HIST-00362,GP&A,Mid-Market,Company 1362 - Cloud Cost Optimization,Explore,Owner 59,Closed Lost,Q2 FY25,Cloud Cost Optimization,20722,,2025-01-17,2025-02-08,2025-02-17,,21,2025-04-05,Company 1362,Parent Account 19,,Yes,,Yes,Fragmented tools,Exec mandate,,Status Quo,GSII,Visibility
OPP-HIST-00363,NORAM,Public Sector,Company 1363 - Analytics & Reporting,Explore,Owner 125,Closed Won,Q2 FY24,Customer 360 View,176884,,2024-03-14,,2024-04-29,2024-05-27,7,2024-06-25,Company 1363,Parent Account 64,Cloud Arch,No,No,Yes,Does not scale,Exec mandate,Low TCO,Internal Build,Partner X,Security posture
OPP-HIST-00364,APAC,Strategic Accounts,Company 1364 - Cloud Cost Optimization,Commit,Owner 106,Closed Won,Q1 FY25,Analytics & Reporting,210473,POC run,2024-12-20,2025-01-14,,2025-02-27,30,2025-04-26,Company 1364,,Infra Lead,No,,,Fragmented tools,Renewal soon,,Competitor C,None,Faster release
OPP-HIST-00365,LAC,Enterprise,Company 1365 - Cloud Cost Optimization,Explore,Owner 21,Closed Lost,Q2 FY24,Analytics & Reporting,38989,,2024-03-15,2024-04-13,2024-05-24,2024-06-24,7,2024-08-02,Company 1365,,,Yes,Yes,Yes,,M&A drive,References match,Status Quo,None,Visibility
OPP-HIST-00366,GP&A,SMB,Company 1366 - AI/ML Enablement,Commit,Owner 138,Closed Won,Q2 FY25,AI/ML Enablement,45643,Deep dive,2025-03-31,2025-05-07,2025-06-01,,25,2025-08-09,Company 1366,Parent Account 135,,Yes,Yes,Yes,Does not scale,Budget expires FY,Strong roadmap,Competitor A,Consulting Co,Reduce Ops
OPP-HIST-00367,EMEA,SMB,Company 1367 - Data Platform Modernization,Commit,Owner 141,Closed Won,Q1 FY25,AI/ML Enablement,73138,Exec sponsor confirm,2024-10-08,2024-11-14,2024-12-01,2024-12-07,41,2025-02-14,Company 1367,Parent Account 21,VP Eng,No,No,No,Fragmented tools,Exec mandate,,Competitor C,GSII,
OPP-HIST-00368,NORAM,Enterprise,Company 1368 - DevOps & Automation,Explore,Owner 35,Closed Lost,Q3 FY25,Customer 360 View,75668,Procurement alignment,2025-04-22,2025-05-18,,,18,2025-08-10,Company 1368,,VP Eng,Yes,No,No,Fragmented tools,Renewal soon,,Competitor B,Consulting Co,Visibility
