opportunity number,field / event,Old value,New Value,edit date
OPP-HIST-00508,Next Steps,POC run - minor (no change),POC run - minor (no change) (no change),2024-07-14
OPP-HIST-00508,Next Steps,POC run - minor (no change) (no change),Exec sponsor confirm,2024-08-19
OPP-HIST-00511,Next Steps,,Proposal review,2025-01-18
OPP-HIST-00511,Next Steps,Proposal review,Proposal review - minor,2025-02-09
OPP-HIST-00512,Next Steps,,Proposal review,2025-06-17
OPP-HIST-00512,Next Steps,Proposal review,Proposal review - pending,2025-07-20
OPP-HIST-00513,Next Steps,,Proposal review,2025-02-23
OPP-HIST-00513,Next Steps,Proposal review,Proposal review - minor,2025-04-04
OPP-HIST-00513,Next Steps,Proposal review - minor,Proposal review - minor - update,2025-04-28
OPP-HIST-00514,Next Steps,Implementation plan,Implementation plan,2025-04-29
OPP-HIST-00514,Next Steps,Implementation plan,Implementation plan (no change),2025-05-04
OPP-HIST-00514,Next Steps,Implementation plan (no change),Proposal review,2025-05-28
OPP-HIST-00514,Next Steps,Proposal review,Proposal review - update,2025-06-15
OPP-HIST-00514,Next Steps,Proposal review - update,Proposal review - update (no change),2025-07-17
OPP-HIST-00515,Next Steps,,Deep dive,2025-01-24
OPP-HIST-00515,Next Steps,Deep dive,Deep dive - minor,2025-02-08
OPP-HIST-00515,Next Steps,Deep dive - minor,Deep dive - minor - minor,2025-03-13
OPP-HIST-00515,Next Steps,Deep dive - minor - minor,Deep dive - minor - minor - minor,2025-03-23
OPP-HIST-00516,Next Steps,Implementation plan,Implementation plan - minor,2024-04-29
OPP-HIST-00516,Next Steps,Implementation plan - minor,Implementation plan - minor - update,2024-05-04
OPP-HIST-00516,Next Steps,Implementation plan - minor - update,Deep dive,2024-05-25
OPP-HIST-00517,Next Steps,Implementation plan,Implementation plan,2024-06-27
OPP-HIST-00517,Next Steps,Implementation plan,Implementation plan,2024-07-20
OPP-HIST-00517,Next Steps,Implementation plan,Deep dive,2024-08-15
OPP-HIST-00518,Next Steps,POC run,POC run - update,2025-02-23
OPP-HIST-00519,Next Steps,Procurement alignment,Deep dive,2025-05-25
OPP-HIST-00521,Next Steps,,Implementation plan,2024-03-09
OPP-HIST-00522,Next Steps,,Exec sponsor confirm,2024-01-21
OPP-HIST-00525,Next Steps,Deep dive,Deep dive - minor,2024-10-14
OPP-HIST-00525,Next Steps,Deep dive - minor,Deep dive - minor - minor,2024-11-16
OPP-HIST-00525,Next Steps,Deep dive - minor - minor,Deep dive - minor - minor - update,2024-11-25
OPP-HIST-00526,Next Steps,Implementation plan,Implementation plan - minor,2024-04-28
OPP-HIST-00526,Next Steps,Implementation plan - minor,Implementation plan - minor - update,2024-05-30
OPP-HIST-00526,Next Steps,Implementation plan - minor - update,Implementation plan - minor - update - update,2024-06-17
OPP-HIST-00526,Next Steps,Implementation plan - minor - update - update,Implementation plan - minor - update - update (no change),2024-07-18
OPP-HIST-00527,Next Steps,Implementation plan,Exec sponsor confirm,2023-11-23
OPP-HIST-00528,Next Steps,Exec sponsor confirm,Deep dive,2024-12-02
OPP-HIST-00529,Next Steps,POC run,Procurement alignment,2025-05-06
OPP-HIST-00529,Next Steps,Procurement alignment,Procurement alignment (no change),2025-05-14
OPP-HIST-00529,Next Steps,Procurement alignment (no change),Procurement alignment (no change) (no change),2025-06-07
OPP-HIST-00529,Next Steps,Procurement alignment (no change) (no change),Procurement alignment (no change) (no change) - follow up,2025-06-27
OPP-HIST-00529,Next Steps,Procurement alignment (no change) (no change) - follow up,Implementation plan,2025-07-25
OPP-HIST-00530,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-04-29
OPP-HIST-00530,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - pending,2025-05-07
OPP-HIST-00533,Next Steps,Deep dive,Deep dive - minor,2024-11-16
OPP-HIST-00534,Next Steps,Deep dive,Deep dive - pending,2025-02-28
OPP-HIST-00534,Next Steps,Deep dive - pending,Deep dive - pending (no change),2025-03-29
OPP-HIST-00534,Next Steps,Deep dive - pending (no change),Deep dive - pending (no change) - update,2025-05-05
OPP-HIST-00535,Next Steps,,Implementation plan,2023-11-12
OPP-HIST-00535,Next Steps,Implementation plan,Implementation plan (no change),2023-12-19
OPP-HIST-00537,Next Steps,Exec sponsor confirm,Deep dive,2023-11-21
OPP-HIST-00537,Next Steps,Deep dive,Deep dive (no change),2023-12-18
OPP-HIST-00537,Next Steps,Deep dive (no change),Implementation plan,2024-01-25
OPP-HIST-00537,Next Steps,Implementation plan,Implementation plan,2024-01-31
OPP-HIST-00538,Next Steps,Implementation plan,Implementation plan - pending,2025-05-30
OPP-HIST-00538,Next Steps,Implementation plan - pending,Procurement alignment,2025-06-22
OPP-HIST-00538,Next Steps,Procurement alignment,Procurement alignment - pending,2025-07-29
OPP-HIST-00539,Next Steps,,Proposal review,2024-11-17
OPP-HIST-00540,Next Steps,POC run,POC run - minor,2024-04-15
OPP-HIST-00541,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2025-05-27
OPP-HIST-00542,Next Steps,Proposal review,Procurement alignment,2025-03-16
OPP-HIST-00542,Next Steps,Procurement alignment,Implementation plan,2025-03-31
OPP-HIST-00542,Next Steps,Implementation plan,Implementation plan - minor,2025-04-10
OPP-HIST-00542,Next Steps,Implementation plan - minor,Implementation plan - minor - follow up,2025-04-22
OPP-HIST-00543,Next Steps,POC run,POC run - minor,2024-02-18
OPP-HIST-00544,Next Steps,,Proposal review,2024-02-15
OPP-HIST-00544,Next Steps,Proposal review,Proposal review - update,2024-03-23
OPP-HIST-00544,Next Steps,Proposal review - update,Procurement alignment,2024-03-30
OPP-HIST-00544,Next Steps,Procurement alignment,Procurement alignment - pending,2024-04-12
OPP-HIST-00544,Next Steps,Procurement alignment - pending,Proposal review,2024-05-22
OPP-HIST-00545,Next Steps,,Implementation plan,2024-02-05
OPP-HIST-00545,Next Steps,Implementation plan,Proposal review,2024-02-20
OPP-HIST-00545,Next Steps,Proposal review,Proposal review - minor,2024-03-13
OPP-HIST-00546,Next Steps,Implementation plan,Implementation plan - update,2024-12-24
OPP-HIST-00546,Next Steps,Implementation plan - update,Implementation plan - update - minor,2025-01-07
OPP-HIST-00546,Next Steps,Implementation plan - update - minor,Implementation plan - update - minor - follow up,2025-02-13
OPP-HIST-00546,Next Steps,Implementation plan - update - minor - follow up,Implementation plan - update - minor - follow up - update,2025-03-17
OPP-HIST-00546,Next Steps,Implementation plan - update - minor - follow up - update,Implementation plan - update - minor - follow up - update - minor,2025-04-04
OPP-HIST-00547,Next Steps,Deep dive,Proposal review,2024-02-14
OPP-HIST-00548,Next Steps,,Exec sponsor confirm,2025-05-11
OPP-HIST-00548,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2025-06-17
OPP-HIST-00548,Next Steps,Exec sponsor confirm - minor,Exec sponsor confirm - minor (no change),2025-07-08
OPP-HIST-00549,Next Steps,Deep dive,Deep dive - follow up,2024-04-24
OPP-HIST-00549,Next Steps,Deep dive - follow up,Deep dive - follow up - follow up,2024-06-01
OPP-HIST-00550,Next Steps,Procurement alignment,Procurement alignment - pending,2023-12-13
OPP-HIST-00550,Next Steps,Procurement alignment - pending,Procurement alignment - pending (no change),2024-01-20
OPP-HIST-00550,Next Steps,Procurement alignment - pending (no change),POC run,2024-02-15
OPP-HIST-00550,Next Steps,POC run,POC run - minor,2024-02-24
OPP-HIST-00550,Next Steps,POC run - minor,POC run - minor - follow up,2024-02-20
OPP-HIST-00552,Next Steps,,Exec sponsor confirm,2024-04-23
OPP-HIST-00552,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-05-04
OPP-HIST-00552,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending (no change),2024-05-22
OPP-HIST-00552,Next Steps,Exec sponsor confirm - pending (no change),Proposal review,2024-06-17
OPP-HIST-00552,Next Steps,Proposal review,Proposal review (no change),2024-07-07
OPP-HIST-00553,Next Steps,,Procurement alignment,2023-12-20
OPP-HIST-00553,Next Steps,Procurement alignment,Proposal review,2024-01-21
OPP-HIST-00553,Next Steps,Proposal review,Proposal review - update,2024-01-26
OPP-HIST-00553,Next Steps,Proposal review - update,Proposal review - update - follow up,2024-02-13
OPP-HIST-00553,Next Steps,Proposal review - update - follow up,Proposal review - update - follow up - update,2024-02-27
OPP-HIST-00554,Next Steps,Proposal review,Deep dive,2024-12-22
OPP-HIST-00555,Next Steps,,Proposal review,2023-11-10
OPP-HIST-00555,Next Steps,Proposal review,Proposal review - update,2023-12-06
OPP-HIST-00555,Next Steps,Proposal review - update,Proposal review - update - pending,2024-01-06
OPP-HIST-00555,Next Steps,Proposal review - update - pending,Proposal review - update - pending (no change),2024-02-11
OPP-HIST-00556,Next Steps,Implementation plan,Implementation plan - minor,2024-05-28
OPP-HIST-00556,Next Steps,Implementation plan - minor,Implementation plan - minor - follow up,2024-06-24
OPP-HIST-00557,Next Steps,Proposal review,Deep dive,2025-06-16
OPP-HIST-00557,Next Steps,Deep dive,Procurement alignment,2025-07-20
OPP-HIST-00557,Next Steps,Procurement alignment,Procurement alignment - minor,2025-08-11
OPP-HIST-00558,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-04-06
OPP-HIST-00559,Next Steps,POC run,Implementation plan,2025-04-11
OPP-HIST-00559,Next Steps,Implementation plan,POC run,2025-05-08
OPP-HIST-00559,Next Steps,POC run,Deep dive,2025-06-04
OPP-HIST-00559,Next Steps,Deep dive,Deep dive - pending,2025-07-04
OPP-HIST-00561,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2023-10-12
OPP-HIST-00561,Next Steps,Exec sponsor confirm (no change),Procurement alignment,2023-10-31
OPP-HIST-00561,Next Steps,Procurement alignment,Procurement alignment - follow up,2023-11-19
OPP-HIST-00561,Next Steps,Procurement alignment - follow up,Procurement alignment - follow up - minor,2023-12-28
OPP-HIST-00561,Next Steps,Procurement alignment - follow up - minor,Proposal review,2024-01-22
OPP-HIST-00562,Next Steps,Procurement alignment,Exec sponsor confirm,2025-03-06
OPP-HIST-00562,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-03-30
OPP-HIST-00562,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - follow up,2025-04-09
OPP-HIST-00562,Next Steps,Exec sponsor confirm - follow up - follow up,Exec sponsor confirm,2025-05-14
OPP-HIST-00563,Next Steps,Deep dive,Deep dive,2024-12-01
OPP-HIST-00563,Next Steps,Deep dive,Deep dive (no change),2024-12-29
OPP-HIST-00563,Next Steps,Deep dive (no change),Deep dive (no change) - pending,2025-01-31
OPP-HIST-00563,Next Steps,Deep dive (no change) - pending,Exec sponsor confirm,2025-02-15
OPP-HIST-00563,Next Steps,Exec sponsor confirm,Implementation plan,2025-03-07
OPP-HIST-00564,Next Steps,Exec sponsor confirm,Proposal review,2024-11-25
OPP-HIST-00564,Next Steps,Proposal review,Proposal review - update,2024-12-07
OPP-HIST-00564,Next Steps,Proposal review - update,Proposal review - update - update,2024-12-14
OPP-HIST-00564,Next Steps,Proposal review - update - update,Proposal review - update - update - pending,2025-01-21
OPP-HIST-00565,Next Steps,,POC run,2025-04-25
OPP-HIST-00565,Next Steps,POC run,Exec sponsor confirm,2025-06-04
OPP-HIST-00565,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-06-24
OPP-HIST-00565,Next Steps,Exec sponsor confirm (no change),Proposal review,2025-07-14
OPP-HIST-00565,Next Steps,Proposal review,Proposal review - follow up,2025-08-18
OPP-HIST-00566,Next Steps,,Implementation plan,2025-06-27
OPP-HIST-00566,Next Steps,Implementation plan,Implementation plan - update,2025-07-10
OPP-HIST-00566,Next Steps,Implementation plan - update,Implementation plan - update - pending,2025-07-23
OPP-HIST-00566,Next Steps,Implementation plan - update - pending,Implementation plan - update - pending - update,2025-08-08
OPP-HIST-00568,Next Steps,Deep dive,Deep dive - update,2023-12-10
OPP-HIST-00568,Next Steps,Deep dive - update,Procurement alignment,2023-12-21
OPP-HIST-00568,Next Steps,Procurement alignment,Procurement alignment - minor,2024-01-22
OPP-HIST-00568,Next Steps,Procurement alignment - minor,Procurement alignment - minor - minor,2024-02-07
OPP-HIST-00568,Next Steps,Procurement alignment - minor - minor,Procurement alignment - minor - minor - follow up,2024-03-15
OPP-HIST-00569,Next Steps,,Proposal review,2024-01-08
OPP-HIST-00569,Next Steps,Proposal review,Proposal review - minor,2024-02-08
OPP-HIST-00570,Next Steps,Deep dive,Deep dive (no change),2024-01-14
OPP-HIST-00570,Next Steps,Deep dive (no change),Deep dive (no change) - pending,2024-01-31
OPP-HIST-00570,Next Steps,Deep dive (no change) - pending,Proposal review,2024-02-25
OPP-HIST-00571,Next Steps,Proposal review,Proposal review (no change),2024-12-20
OPP-HIST-00571,Next Steps,Proposal review (no change),Implementation plan,2025-01-24
OPP-HIST-00572,Next Steps,Implementation plan,Implementation plan - pending,2025-06-15
OPP-HIST-00572,Next Steps,Implementation plan - pending,Implementation plan - pending (no change),2025-07-01
OPP-HIST-00573,Next Steps,Procurement alignment,Procurement alignment - pending,2025-04-30
OPP-HIST-00573,Next Steps,Procurement alignment - pending,Procurement alignment - pending (no change),2025-05-21
OPP-HIST-00573,Next Steps,Procurement alignment - pending (no change),Procurement alignment - pending (no change) - pending,2025-05-29
OPP-HIST-00573,Next Steps,Procurement alignment - pending (no change) - pending,Procurement alignment - pending (no change) - pending (no change),2025-06-06
OPP-HIST-00574,Next Steps,Proposal review,Proposal review - minor,2025-05-23
OPP-HIST-00574,Next Steps,Proposal review - minor,Proposal review - minor - minor,2025-05-27
OPP-HIST-00574,Next Steps,Proposal review - minor - minor,Proposal review - minor - minor - minor,2025-06-18
OPP-HIST-00575,Next Steps,Proposal review,Implementation plan,2025-05-20
OPP-HIST-00575,Next Steps,Implementation plan,Implementation plan - pending,2025-06-11
OPP-HIST-00575,Next Steps,Implementation plan - pending,Implementation plan - pending - follow up,2025-07-01
OPP-HIST-00575,Next Steps,Implementation plan - pending - follow up,Implementation plan - pending - follow up (no change),2025-07-24
OPP-HIST-00575,Next Steps,Implementation plan - pending - follow up (no change),Implementation plan - pending - follow up (no change) - pending,2025-07-30
OPP-HIST-00576,Next Steps,POC run,Proposal review,2024-05-16
OPP-HIST-00576,Next Steps,Proposal review,Proposal review - follow up,2024-06-25
OPP-HIST-00576,Next Steps,Proposal review - follow up,POC run,2024-07-03
OPP-HIST-00578,Next Steps,Implementation plan,Implementation plan - update,2024-04-07
OPP-HIST-00578,Next Steps,Implementation plan - update,Implementation plan - update - follow up,2024-04-14
OPP-HIST-00579,Next Steps,,Implementation plan,2025-03-25
OPP-HIST-00579,Next Steps,Implementation plan,Implementation plan - update,2025-04-22
OPP-HIST-00579,Next Steps,Implementation plan - update,Proposal review,2025-05-14
OPP-HIST-00579,Next Steps,Proposal review,Proposal review - minor,2025-05-19
OPP-HIST-00580,Next Steps,Procurement alignment,Implementation plan,2024-03-10
OPP-HIST-00580,Next Steps,Implementation plan,Implementation plan - update,2024-04-14
OPP-HIST-00581,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-04-04
OPP-HIST-00581,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - follow up,2025-04-13
OPP-HIST-00581,Next Steps,Exec sponsor confirm - follow up - follow up,Exec sponsor confirm - follow up - follow up - minor,2025-05-22
OPP-HIST-00581,Next Steps,Exec sponsor confirm - follow up - follow up - minor,Procurement alignment,2025-06-07
OPP-HIST-00582,Next Steps,Procurement alignment,Procurement alignment (no change),2024-05-05
OPP-HIST-00583,Next Steps,Procurement alignment,Procurement alignment - update,2024-01-12
OPP-HIST-00583,Next Steps,Procurement alignment - update,Exec sponsor confirm,2024-02-18
OPP-HIST-00583,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2024-03-10
OPP-HIST-00583,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) - update,2024-03-27
OPP-HIST-00583,Next Steps,Exec sponsor confirm (no change) - update,Exec sponsor confirm (no change) - update - pending,2024-04-28
OPP-HIST-00585,Next Steps,Implementation plan,Implementation plan - minor,2024-02-24
OPP-HIST-00585,Next Steps,Implementation plan - minor,Implementation plan - minor - pending,2024-03-20
OPP-HIST-00585,Next Steps,Implementation plan - minor - pending,Implementation plan - minor - pending - update,2024-04-07
OPP-HIST-00585,Next Steps,Implementation plan - minor - pending - update,Implementation plan - minor - pending - update - update,2024-05-12
OPP-HIST-00586,Next Steps,,POC run,2023-11-25
OPP-HIST-00586,Next Steps,POC run,POC run - pending,2023-12-05
OPP-HIST-00586,Next Steps,POC run - pending,Deep dive,2024-01-09
OPP-HIST-00586,Next Steps,Deep dive,Deep dive - minor,2024-02-17
OPP-HIST-00586,Next Steps,Deep dive - minor,Deep dive - minor - follow up,2024-03-24
OPP-HIST-00587,Next Steps,Procurement alignment,Exec sponsor confirm,2025-03-01
OPP-HIST-00587,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2025-03-26
OPP-HIST-00587,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-04-14
OPP-HIST-00588,Next Steps,Implementation plan,Deep dive,2023-11-05
OPP-HIST-00588,Next Steps,Deep dive,Deep dive - pending,2023-11-20
OPP-HIST-00588,Next Steps,Deep dive - pending,Deep dive - pending - follow up,2023-11-24
OPP-HIST-00588,Next Steps,Deep dive - pending - follow up,Proposal review,2023-12-02
OPP-HIST-00589,Next Steps,Procurement alignment,Procurement alignment - pending,2025-06-20
OPP-HIST-00589,Next Steps,Procurement alignment - pending,Procurement alignment,2025-06-30
OPP-HIST-00589,Next Steps,Procurement alignment,POC run,2025-07-13
OPP-HIST-00590,Next Steps,POC run,Procurement alignment,2024-04-15
OPP-HIST-00590,Next Steps,Procurement alignment,Procurement alignment - minor,2024-04-30
OPP-HIST-00590,Next Steps,Procurement alignment - minor,Procurement alignment - minor - follow up,2024-05-18
OPP-HIST-00590,Next Steps,Procurement alignment - minor - follow up,Procurement alignment - minor - follow up - pending,2024-05-28
OPP-HIST-00592,Next Steps,Proposal review,Proposal review,2024-01-17
OPP-HIST-00592,Next Steps,Proposal review,Exec sponsor confirm,2024-01-25
OPP-HIST-00593,Next Steps,,Exec sponsor confirm,2024-04-20
OPP-HIST-00593,Next Steps,Exec sponsor confirm,Deep dive,2024-05-05
OPP-HIST-00595,Next Steps,,Implementation plan,2025-02-08
OPP-HIST-00595,Next Steps,Implementation plan,POC run,2025-03-16
OPP-HIST-00596,Next Steps,POC run,POC run - update,2024-12-26
OPP-HIST-00597,Next Steps,Proposal review,Proposal review (no change),2024-05-22
OPP-HIST-00597,Next Steps,Proposal review (no change),Implementation plan,2024-05-29
OPP-HIST-00598,Next Steps,POC run,POC run - minor,2025-04-25
OPP-HIST-00598,Next Steps,POC run - minor,POC run - minor (no change),2025-04-30
OPP-HIST-00599,Next Steps,Proposal review,Proposal review - minor,2025-06-17
OPP-HIST-00599,Next Steps,Proposal review - minor,Procurement alignment,2025-07-11
OPP-HIST-00600,Next Steps,Deep dive,Deep dive (no change),2025-02-11
OPP-HIST-00600,Next Steps,Deep dive (no change),Deep dive (no change) - minor,2025-03-13
OPP-HIST-00601,Next Steps,Proposal review,Proposal review - minor,2024-04-17
OPP-HIST-00601,Next Steps,Proposal review - minor,Proposal review - minor - follow up,2024-05-24
OPP-HIST-00601,Next Steps,Proposal review - minor - follow up,Exec sponsor confirm,2024-06-24
OPP-HIST-00601,Next Steps,Exec sponsor confirm,Procurement alignment,2024-07-13
OPP-HIST-00603,Next Steps,POC run,POC run - pending,2023-12-15
OPP-HIST-00603,Next Steps,POC run - pending,POC run - pending (no change),2023-12-31
OPP-HIST-00603,Next Steps,POC run - pending (no change),POC run - pending (no change) - pending,2024-01-23
OPP-HIST-00603,Next Steps,POC run - pending (no change) - pending,Procurement alignment,2024-02-15
OPP-HIST-00605,Next Steps,Proposal review,Exec sponsor confirm,2024-10-15
OPP-HIST-00607,Next Steps,Implementation plan,Implementation plan - minor,2024-11-21
OPP-HIST-00607,Next Steps,Implementation plan - minor,Implementation plan - minor (no change),2024-12-02
OPP-HIST-00607,Next Steps,Implementation plan - minor (no change),Implementation plan - minor (no change) - follow up,2024-12-06
OPP-HIST-00608,Next Steps,,Implementation plan,2024-01-29
OPP-HIST-00608,Next Steps,Implementation plan,Implementation plan - follow up,2024-03-05
OPP-HIST-00608,Next Steps,Implementation plan - follow up,Procurement alignment,2024-04-02
OPP-HIST-00609,Next Steps,Deep dive,Deep dive (no change),2025-03-20
OPP-HIST-00609,Next Steps,Deep dive (no change),Deep dive (no change) - update,2025-04-28
OPP-HIST-00609,Next Steps,Deep dive (no change) - update,POC run,2025-05-05
OPP-HIST-00610,Next Steps,Implementation plan,Proposal review,2025-06-19
OPP-HIST-00610,Next Steps,Proposal review,Proposal review (no change),2025-07-09
OPP-HIST-00612,Next Steps,Deep dive,Deep dive - pending,2024-02-25
OPP-HIST-00612,Next Steps,Deep dive - pending,Implementation plan,2024-03-21
OPP-HIST-00613,Next Steps,POC run,Procurement alignment,2024-10-23
OPP-HIST-00614,Next Steps,,Procurement alignment,2024-06-02
OPP-HIST-00614,Next Steps,Procurement alignment,Procurement alignment (no change),2024-06-17
OPP-HIST-00616,Next Steps,Proposal review,POC run,2025-02-20
OPP-HIST-00616,Next Steps,POC run,Exec sponsor confirm,2025-03-16
OPP-HIST-00616,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-04-20
OPP-HIST-00616,Next Steps,Exec sponsor confirm - follow up,POC run,2025-05-19
OPP-HIST-00616,Next Steps,POC run,POC run - pending,2025-05-25
OPP-HIST-00617,Next Steps,Proposal review,Proposal review - pending,2025-01-06
OPP-HIST-00617,Next Steps,Proposal review - pending,Exec sponsor confirm,2025-02-13
OPP-HIST-00617,Next Steps,Exec sponsor confirm,Implementation plan,2025-03-05
OPP-HIST-00618,Next Steps,,Deep dive,2025-02-08
OPP-HIST-00620,Next Steps,Deep dive,Deep dive - minor,2024-02-12
OPP-HIST-00621,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-03-29
OPP-HIST-00622,Next Steps,Exec sponsor confirm,Deep dive,2024-06-02
OPP-HIST-00622,Next Steps,Deep dive,Proposal review,2024-07-06
OPP-HIST-00623,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-04-24
OPP-HIST-00623,Next Steps,Procurement alignment - follow up,Deep dive,2024-05-16
OPP-HIST-00623,Next Steps,Deep dive,Proposal review,2024-05-22
OPP-HIST-00623,Next Steps,Proposal review,Proposal review (no change),2024-05-29
OPP-HIST-00623,Next Steps,Proposal review (no change),Implementation plan,2024-07-04
OPP-HIST-00624,Next Steps,Deep dive,Exec sponsor confirm,2025-03-07
OPP-HIST-00625,Next Steps,,Implementation plan,2023-12-04
OPP-HIST-00626,Next Steps,POC run,Implementation plan,2024-03-19
OPP-HIST-00626,Next Steps,Implementation plan,POC run,2024-04-04
OPP-HIST-00627,Next Steps,Implementation plan,Implementation plan - minor,2025-04-12
OPP-HIST-00627,Next Steps,Implementation plan - minor,Deep dive,2025-04-26
OPP-HIST-00627,Next Steps,Deep dive,POC run,2025-05-11
OPP-HIST-00627,Next Steps,POC run,POC run (no change),2025-05-22
OPP-HIST-00627,Next Steps,POC run (no change),Implementation plan,2025-06-20
OPP-HIST-00628,Next Steps,Implementation plan,Implementation plan,2024-11-22
OPP-HIST-00628,Next Steps,Implementation plan,Procurement alignment,2024-12-21
OPP-HIST-00628,Next Steps,Procurement alignment,Procurement alignment (no change),2025-01-27
OPP-HIST-00628,Next Steps,Procurement alignment (no change),Procurement alignment (no change) - follow up,2025-02-12
OPP-HIST-00629,Next Steps,,Procurement alignment,2025-03-22
OPP-HIST-00629,Next Steps,Procurement alignment,Procurement alignment - update,2025-04-13
OPP-HIST-00629,Next Steps,Procurement alignment - update,Procurement alignment - update - pending,2025-04-18
OPP-HIST-00629,Next Steps,Procurement alignment - update - pending,Procurement alignment - update - pending - update,2025-04-24
OPP-HIST-00631,Next Steps,Deep dive,Deep dive - follow up,2024-01-30
OPP-HIST-00631,Next Steps,Deep dive - follow up,Exec sponsor confirm,2024-02-08
OPP-HIST-00631,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2024-03-05
OPP-HIST-00631,Next Steps,Exec sponsor confirm - update,Exec sponsor confirm - update - follow up,2024-04-04
OPP-HIST-00632,Next Steps,,Procurement alignment,2024-02-02
OPP-HIST-00632,Next Steps,Procurement alignment,Procurement alignment - minor,2024-02-08
OPP-HIST-00633,Next Steps,Deep dive,Deep dive,2024-05-06
OPP-HIST-00633,Next Steps,Deep dive,POC run,2024-05-23
OPP-HIST-00633,Next Steps,POC run,POC run (no change),2024-06-21
OPP-HIST-00633,Next Steps,POC run (no change),POC run (no change) - update,2024-07-27
OPP-HIST-00633,Next Steps,POC run (no change) - update,POC run (no change) - update (no change),2024-08-19
OPP-HIST-00634,Next Steps,Proposal review,Proposal review - pending,2024-11-07
OPP-HIST-00634,Next Steps,Proposal review - pending,Procurement alignment,2024-11-22
OPP-HIST-00634,Next Steps,Procurement alignment,Implementation plan,2024-11-30
OPP-HIST-00634,Next Steps,Implementation plan,Implementation plan - update,2024-12-15
OPP-HIST-00634,Next Steps,Implementation plan - update,Deep dive,2024-12-23
OPP-HIST-00635,Next Steps,Implementation plan,Implementation plan - follow up,2025-03-27
OPP-HIST-00635,Next Steps,Implementation plan - follow up,Implementation plan - follow up - update,2025-04-25
OPP-HIST-00635,Next Steps,Implementation plan - follow up - update,Implementation plan - follow up - update - pending,2025-05-17
OPP-HIST-00635,Next Steps,Implementation plan - follow up - update - pending,Exec sponsor confirm,2025-06-20
OPP-HIST-00635,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-06-30
OPP-HIST-00636,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-06-29
OPP-HIST-00637,Next Steps,POC run,Procurement alignment,2024-11-28
OPP-HIST-00637,Next Steps,Procurement alignment,Procurement alignment - update,2025-01-01
OPP-HIST-00638,Next Steps,POC run,POC run - follow up,2024-05-26
OPP-HIST-00638,Next Steps,POC run - follow up,Deep dive,2024-06-25
OPP-HIST-00638,Next Steps,Deep dive,Deep dive - pending,2024-07-07
OPP-HIST-00638,Next Steps,Deep dive - pending,Exec sponsor confirm,2024-08-10
OPP-HIST-00639,Next Steps,Deep dive,Deep dive - update,2023-12-18
OPP-HIST-00639,Next Steps,Deep dive - update,Deep dive - update (no change),2024-01-26
OPP-HIST-00639,Next Steps,Deep dive - update (no change),Deep dive - update (no change) - minor,2024-02-21
OPP-HIST-00641,Next Steps,Exec sponsor confirm,Proposal review,2024-12-21
OPP-HIST-00641,Next Steps,Proposal review,Exec sponsor confirm,2025-01-25
OPP-HIST-00641,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-02-01
OPP-HIST-00641,Next Steps,Exec sponsor confirm - pending,POC run,2025-02-09
OPP-HIST-00641,Next Steps,POC run,POC run - update,2025-03-04
OPP-HIST-00643,Next Steps,POC run,POC run,2024-11-17
OPP-HIST-00643,Next Steps,POC run,Procurement alignment,2024-12-06
OPP-HIST-00643,Next Steps,Procurement alignment,Procurement alignment (no change),2024-12-12
OPP-HIST-00644,Next Steps,,Proposal review,2025-02-01
OPP-HIST-00644,Next Steps,Proposal review,Proposal review - pending,2025-02-05
OPP-HIST-00644,Next Steps,Proposal review - pending,Proposal review - pending - follow up,2025-02-16
OPP-HIST-00646,Next Steps,Proposal review,Proposal review (no change),2024-04-26
OPP-HIST-00646,Next Steps,Proposal review (no change),Proposal review (no change) (no change),2024-05-15
OPP-HIST-00646,Next Steps,Proposal review (no change) (no change),Procurement alignment,2024-06-11
